timestamp,instance,config_hash,solver,valid_cut_type,add_soc_cuts,random_seed,iteration,block_id,n_original,true_min_eigenvalue,master_objective,master_solve_time,separation_time,num_cuts_added_this_iter,is_psd
1784697281.7585166,control6,ab9d8392d9,MOSEK,linear,False,42,91,1,30,-10.462208689795004,734.21705338238,25.919375896453857,0.0010232925415039062,10,False
1784697314.5297816,control6,ab9d8392d9,MOSEK,linear,False,42,92,0,60,-0.04280518124133325,732.8071479203484,32.64582633972168,0.0009949207305908203,28,False
1784697314.5337844,control6,ab9d8392d9,MOSEK,linear,False,42,92,1,30,-11.365891090061067,732.8071479203484,32.64582633972168,0.0,9,False
1784697339.9354668,control6,ab9d8392d9,MOSEK,linear,False,42,93,0,60,-0.037819073150495326,731.3632017677265,25.273768663406372,0.0009987354278564453,28,False
1784697339.940341,control6,ab9d8392d9,MOSEK,linear,False,42,93,1,30,-10.30922674552226,731.3632017677265,25.273768663406372,0.0,10,False
1784697373.2353575,control6,ab9d8392d9,MOSEK,linear,False,42,94,0,60,-0.03905275753574238,729.7456495680631,33.14863157272339,0.000997781753540039,29,False
1784697373.2397504,control6,ab9d8392d9,MOSEK,linear,False,42,94,1,30,-10.330210502774177,729.7456495680631,33.14863157272339,0.0,11,False
1784697409.4552178,control6,ab9d8392d9,MOSEK,linear,False,42,95,0,60,-0.038518322197954154,728.0112911979559,36.086466789245605,0.0010082721710205078,29,False
1784697409.4622257,control6,ab9d8392d9,MOSEK,linear,False,42,95,1,30,-11.654258320204558,728.0112911979559,36.086466789245605,0.0,10,False
1784697431.6696768,control6,ab9d8392d9,MOSEK,linear,False,42,96,0,60,-0.03924300173882257,726.6003113546082,22.079322338104248,0.001870870590209961,29,False
1784697431.6756248,control6,ab9d8392d9,MOSEK,linear,False,42,96,1,30,-8.627045736952802,726.6003113546082,22.079322338104248,0.0,11,False
1784697464.1618216,control6,ab9d8392d9,MOSEK,linear,False,42,97,0,60,-0.035045617330588426,725.1818182163593,32.357115030288696,0.0009999275207519531,30,False
1784697464.168045,control6,ab9d8392d9,MOSEK,linear,False,42,97,1,30,-9.041557762224555,725.1818182163593,32.357115030288696,0.0,11,False
1784697498.7815282,control6,ab9d8392d9,MOSEK,linear,False,42,98,0,60,-0.03800716859364552,723.6421402241042,34.47634482383728,0.0011191368103027344,29,False
1784697498.788541,control6,ab9d8392d9,MOSEK,linear,False,42,98,1,30,-10.795560587679375,723.6421402241042,34.47634482383728,0.0010547637939453125,10,False
1784697533.2895598,control6,ab9d8392d9,MOSEK,linear,False,42,99,0,60,-0.03800301803472634,721.9838151380665,34.36728262901306,0.0,30,False
1784697533.2956054,control6,ab9d8392d9,MOSEK,linear,False,42,99,1,30,-10.982714012468112,721.9838151380665,34.36728262901306,0.0,10,False
1784697565.261772,control6,ab9d8392d9,MOSEK,linear,False,42,100,0,60,-0.03817557592115818,720.5839562216554,31.830687046051025,0.0,29,False
1784697565.2669206,control6,ab9d8392d9,MOSEK,linear,False,42,100,1,30,-9.896581081098669,720.5839562216554,31.830687046051025,0.0,10,False
1784697598.7018025,control6,ab9d8392d9,MOSEK,linear,False,42,101,0,60,-0.03469610250495723,719.1223322681134,33.291735887527466,0.00020766258239746094,29,False
1784697598.7068148,control6,ab9d8392d9,MOSEK,linear,False,42,101,1,30,-9.460067734285083,719.1223322681134,33.291735887527466,0.0009653568267822266,11,False
1784697623.8364334,control6,ab9d8392d9,MOSEK,linear,False,42,102,0,60,-0.03718000237433942,717.6821608648122,24.986474752426147,0.002007007598876953,29,False
1784697623.841595,control6,ab9d8392d9,MOSEK,linear,False,42,102,1,30,-10.31196274093267,717.6821608648122,24.986474752426147,0.0,11,False
1784697656.0804732,control6,ab9d8392d9,MOSEK,linear,False,42,103,0,60,-0.033858916449732775,716.0540505886543,32.093971967697144,0.0011136531829833984,30,False
1784697656.087187,control6,ab9d8392d9,MOSEK,linear,False,42,103,1,30,-8.905999455672054,716.0540505886543,32.093971967697144,0.0010089874267578125,10,False
1784697693.7339554,control6,ab9d8392d9,MOSEK,linear,False,42,104,0,60,-0.034055411697939186,714.5342054988056,37.49766302108765,0.0008919239044189453,29,False
